date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2023-08-14,2023-10-17,LAUR,A,1,top,0,
2023-08-14,2023-10-17,LAUR,A,1,bottom,0,
2023-08-14,2023-10-17,LAUR,A,2,top,0,
2023-08-14,2023-10-17,LAUR,A,2,bottom,0,
2023-08-14,2023-10-17,LAUR,A,3,top,0,
2023-08-14,2023-10-17,LAUR,A,3,bottom,0,
2023-08-14,2023-10-17,LAUR,A,4,top,0,
2023-08-14,2023-10-17,LAUR,A,4,bottom,0,
2023-08-14,2023-10-17,LAUR,A,5,top,0,
2023-08-14,2023-10-17,LAUR,A,5,bottom,0,
2023-08-14,2023-10-17,LAUR,A,6,top,0,
2023-08-14,2023-10-17,LAUR,A,6,bottom,0,
2023-08-14,2023-10-17,LAUR,A,7,top,0,
2023-08-14,2023-10-17,LAUR,A,7,bottom,0,
2023-08-14,2023-10-17,LAUR,A,8,top,0,
2023-08-14,2023-10-17,LAUR,A,8,bottom,0,
2023-08-14,2023-10-17,LAUR,A,9,top,0,
2023-08-14,2023-10-17,LAUR,A,9,bottom,0,
2023-08-14,2023-10-17,LAUR,A,10,top,0,
2023-08-14,2023-10-17,LAUR,A,10,bottom,0,
2023-08-14,2023-10-17,LAUR,A,11,top,0,
2023-08-14,2023-10-17,LAUR,A,11,bottom,0,
2023-08-14,2023-10-17,LAUR,A,12,top,0,
2023-08-14,2023-10-17,LAUR,A,12,bottom,0,
2023-08-14,2023-10-17,LAUR,B,1,bottom,0,
2023-08-14,2023-10-17,LAUR,B,1,top,0,
2023-08-14,2023-10-17,LAUR,B,2,bottom,0,
2023-08-14,2023-10-17,LAUR,B,2,top,0,
2023-08-14,2023-10-17,LAUR,B,3,bottom,0,
2023-08-14,2023-10-17,LAUR,B,3,top,0,
2023-08-14,2023-10-17,LAUR,B,4,bottom,0,
2023-08-14,2023-10-17,LAUR,B,4,top,0,
2023-08-14,2023-10-17,LAUR,B,5,top,0,
2023-08-14,2023-10-17,LAUR,B,5,bottom,0,
2023-08-14,2023-10-17,LAUR,B,6,top,0,
2023-08-14,2023-10-17,LAUR,B,6,bottom,0,
2023-08-14,2023-10-17,LAUR,B,7,top,0,
2023-08-14,2023-10-17,LAUR,B,7,bottom,0,
2023-08-14,2023-10-17,LAUR,B,8,top,0,
2023-08-14,2023-10-17,LAUR,B,8,bottom,0,
2023-08-14,2023-10-17,LAUR,B,9,top,0,
2023-08-14,2023-10-17,LAUR,B,9,bottom,0,
2023-08-14,2023-10-17,LAUR,B,10,top,0,
2023-08-14,2023-10-17,LAUR,B,10,bottom,0,
2023-08-14,2023-10-17,LAUR,B,11,top,0,
2023-08-14,2023-10-17,LAUR,B,11,bottom,0,
2023-08-14,2023-10-17,LAUR,B,12,top,0,
2023-08-14,2023-10-17,LAUR,B,12,bottom,0,
2023-08-14,2023-10-17,LAUR,C,1,bottom,0,
2023-08-14,2023-10-17,LAUR,C,1,top,0,
2023-08-14,2023-10-17,LAUR,C,2,bottom,0,
2023-08-14,2023-10-17,LAUR,C,2,top,0,
2023-08-14,2023-10-17,LAUR,C,3,bottom,0,
2023-08-14,2023-10-17,LAUR,C,3,top,1,
2023-08-14,2023-10-17,LAUR,C,4,bottom,0,
2023-08-14,2023-10-17,LAUR,C,4,top,0,
2023-08-14,2023-10-17,LAUR,C,5,top,0,
2023-08-14,2023-10-17,LAUR,C,5,bottom,0,
2023-08-14,2023-10-17,LAUR,C,6,top,0,
2023-08-14,2023-10-17,LAUR,C,6,bottom,0,
2023-08-14,2023-10-17,LAUR,C,7,top,0,
2023-08-14,2023-10-17,LAUR,C,7,bottom,0,
2023-08-14,2023-10-17,LAUR,C,8,top,0,
2023-08-14,2023-10-17,LAUR,C,8,bottom,0,
2023-08-14,2023-10-17,LAUR,C,9,top,0,
2023-08-14,2023-10-17,LAUR,C,9,bottom,0,
2023-08-14,2023-10-17,LAUR,C,10,top,0,
2023-08-14,2023-10-17,LAUR,C,10,bottom,0,
2023-08-14,2023-10-17,LAUR,C,11,top,0,
2023-08-14,2023-10-17,LAUR,C,11,bottom,0,
2023-08-14,2023-10-17,LAUR,C,12,top,0,
2023-08-14,2023-10-17,LAUR,C,12,bottom,1,