"data_all.lab_id","data_all.date_collected","data_all.site","data_all.rftm_intensity_read1","data_all.rftm_intensity_read2","data_all.results"
"0423ASHC_01",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_02",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_03",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_04",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_05",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_06",2023-04-23,"ASHC",0.5,0,"TRUE"
"0423ASHC_07",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_08",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_09",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_10",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_11",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_12",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_13",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_14",2023-04-23,"ASHC",0.5,1,"TRUE"
"0423ASHC_15",2023-04-23,"ASHC",0,0,"TRUE"
"0423ASHC_16",2023-04-23,"ASHC",1,1,"TRUE"
"0423ASHC_17",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_18",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_19",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_20",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_21",2023-04-23,"ASHC",1,1,"TRUE"
"0423ASHC_22",2023-04-23,"ASHC",0.5,0,"TRUE"
"0423ASHC_23",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_24",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_25",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_26",2023-04-23,"ASHC",0.5,0,"TRUE"
"0423ASHC_27",2023-04-23,"ASHC",0,0,"TRUE"
"0423ASHC_28",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_29",2023-04-23,"ASHC",2,2,"TRUE"
"0423ASHC_30",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423FENC_01",2023-04-27,"FENC",0.5,1,"TRUE"
"0423FENC_02",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_03",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_04",2023-04-27,"FENC",2,2,"TRUE"
"0423FENC_05",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_06",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_07",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_08",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_09",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_10",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0523ASHC_01",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_02",2023-05-10,"ASHC",0.5,0.5,"TRUE"
"0523ASHC_03",2023-05-10,"ASHC",0.5,0.5,"TRUE"
"0523ASHC_04",2023-05-10,"ASHC",1,1,"TRUE"
"0523ASHC_05",2023-05-10,"ASHC",0.5,0,"TRUE"
"0523ASHC_06",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_07",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_08",2023-05-10,"ASHC",2,2,"TRUE"
"0523ASHC_09",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_10",2023-05-10,"ASHC",0,0,"TRUE"
"0523FENC_01",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_02",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_03",2023-05-15,"FENC",0,0.5,"TRUE"
"0523FENC_04",2023-05-15,"FENC",0,0.5,"TRUE"
"0523FENC_05",2023-05-15,"FENC",0,0.5,"TRUE"
"0523FENC_06",2023-05-15,"FENC",0,0.5,"TRUE"
"0523FENC_07",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_08",2023-05-15,"FENC",0,0.5,"TRUE"
"0523FENC_09",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_10",2023-05-15,"FENC",0,0,"TRUE"
"0523GOLD_01",2023-05-25,"GOLD",0.5,0.5,"TRUE"
"0523GOLD_02",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_03",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_04",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_05",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_06",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_07",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_08",2023-05-25,"GOLD",0.5,0,"TRUE"
"0523GOLD_09",2023-05-25,"GOLD",0.5,0,"TRUE"
"0523GOLD_10",2023-05-25,"GOLD",0,0,"TRUE"
"0523LAUR_01",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_02",2023-05-25,"LAUR",0,0.5,"TRUE"
"0523LAUR_03",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_04",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_05",2023-05-25,"LAUR",0,0.5,"TRUE"
"0523LAUR_06",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_07",2023-05-25,"LAUR",0.5,0.5,"TRUE"
"0523LAUR_08",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_09",2023-05-25,"LAUR",2,2,"TRUE"
"0523LAUR_10",2023-05-25,"LAUR",0,0.5,"TRUE"
"0623ASHC_01",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_02",2023-06-12,"ASHC",0,0,"TRUE"
"0623ASHC_03",2023-06-12,"ASHC",1,1,"TRUE"
"0623ASHC_04",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_05",2023-06-12,"ASHC",1,0.5,"TRUE"
"0623ASHC_06",2023-06-12,"ASHC",1,1,"TRUE"
"0623ASHC_07",2023-06-12,"ASHC",2,2,"TRUE"
"0623ASHC_08",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_09",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_10",2023-06-12,"ASHC",0,0,"TRUE"
"0623ASHC_11",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_12",2023-06-12,"ASHC",0,0,"TRUE"
