lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0923GOLD_01,9/26/2023,GOLD,1,NA,NA,9/26/2023,68.01,133.88,43.04,22.25,5_fair,pea crab ,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_02,9/26/2023,GOLD,2,NA,NA,9/26/2023,121.4,128.71,60.86,21.96,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_03,9/26/2023,GOLD,3,NA,NA,9/26/2023,86.35,115.27,57.57,22.98,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_04,9/26/2023,GOLD,4,NA,NA,9/26/2023,94.2,108.04,56.95,24.73,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_05,9/26/2023,GOLD,5,NA,NA,9/26/2023,72.21,103.52,49.39,22.47,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_06,9/26/2023,GOLD,6,NA,NA,9/26/2023,47.32,103.01,50.37,16.51,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_07,9/26/2023,GOLD,7,NA,NA,9/26/2023,100.64,112.79,57.87,25.42,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_08,9/26/2023,GOLD,8,NA,NA,9/26/2023,46.23,111.35,38.49,18.79,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_09,9/26/2023,GOLD,9,NA,NA,9/26/2023,76.33,101.95,51.81,27.12,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_10,9/26/2023,GOLD,10,NA,NA,9/26/2023,54.88,116.89,45.86,17.43,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_11,9/26/2023,GOLD,11,NA,NA,9/26/2023,82.6,126.62,61.67,20.13,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_12,9/26/2023,GOLD,12,NA,NA,9/26/2023,83.79,121,52.02,20.52,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_13,9/26/2023,GOLD,13,NA,NA,9/26/2023,64.33,82.84,60.37,23.01,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_14,9/26/2023,GOLD,14,NA,NA,9/26/2023,88.5,87.17,63.17,24.73,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_15,9/26/2023,GOLD,15,NA,NA,9/26/2023,99.31,133.03,55.35,24.11,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_16,9/26/2023,GOLD,16,NA,NA,9/26/2023,95.66,106.94,62.74,26.33,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_17,9/26/2023,GOLD,17,NA,NA,9/26/2023,72.06,119.41,50.98,17.17,6_fair_minus,mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_18,9/26/2023,GOLD,18,NA,NA,9/26/2023,90.2,103.28,64.56,29.35,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_19,9/26/2023,GOLD,19,NA,NA,9/26/2023,59.75,95.34,55.17,23.99,5_fair,light mud blister,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_20,9/26/2023,GOLD,20,NA,NA,9/26/2023,76.8,120.64,58.78,18.29,4_fair_plus,light mud blister,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_21,9/26/2023,GOLD,21,NA,NA,9/26/2023,87.86,91.7,64.5,26.27,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_22,9/26/2023,GOLD,22,NA,NA,9/26/2023,82.99,92.52,61.67,22.91,4_fair_plus,light blister,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_23,9/26/2023,GOLD,23,NA,NA,9/26/2023,60.06,8.62,49.54,15.92,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_24,9/26/2023,GOLD,24,NA,NA,9/26/2023,74.69,119.61,54.32,17.45,4_fair_plus,light blister ,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_25,9/26/2023,GOLD,25,NA,NA,9/26/2023,102.12,117.56,56.21,20.32,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_26,9/26/2023,GOLD,26,NA,NA,9/26/2023,60.57,119.97,56.98,20.19,6_fair_minus,light blister ,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_27,9/26/2023,GOLD,27,NA,NA,9/26/2023,74.89,101.28,60.36,17.75,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_28,9/26/2023,GOLD,28,NA,NA,9/26/2023,59.84,107.11,44.47,20.25,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_29,9/26/2023,GOLD,29,NA,NA,9/26/2023,58.57,115.3,49.01,22.03,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
0923GOLD_30,9/26/2023,GOLD,30,NA,NA,9/26/2023,42.29,110.72,41.77,15.88,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,9/26/2023,9/27/2023
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,
